Problem,Agent's Answer,Correct?
Basic Problem B-01,2,Correct
Basic Problem B-02,5,Correct
Basic Problem B-03,1,Correct
Basic Problem B-04,3,Correct
Basic Problem B-05,4,Correct
Basic Problem B-06,5,Correct
Basic Problem B-07,6,Correct
Basic Problem B-08,6,Correct
Basic Problem B-09,5,Correct
Basic Problem B-10,3,Correct
Basic Problem B-11,1,Correct
Basic Problem B-12,1,Correct
Basic Problem C-01,3,Correct
Basic Problem C-02,4,Correct
Basic Problem C-03,4,Correct
Basic Problem C-04,8,Correct
Basic Problem C-05,3,Correct
Basic Problem C-06,7,Correct
Basic Problem C-07,2,Correct
Basic Problem C-08,5,Correct
Basic Problem C-09,2,Correct
Basic Problem C-10,7,Correct
Basic Problem C-11,4,Correct
Basic Problem C-12,8,Correct
Challenge Problem B-01,-1,Skipped
Challenge Problem B-02,-1,Skipped
Challenge Problem B-03,1,Incorrect
Challenge Problem B-04,1,Incorrect
Challenge Problem B-05,3,Incorrect
Challenge Problem B-06,1,Incorrect
Challenge Problem B-07,2,Incorrect
Challenge Problem B-08,-1,Skipped
Challenge Problem B-09,-1,Skipped
Challenge Problem B-10,-1,Skipped
Challenge Problem B-11,-1,Skipped
Challenge Problem B-12,-1,Skipped
Challenge Problem C-01,-1,Skipped
Challenge Problem C-02,8,Incorrect
Challenge Problem C-03,-1,Skipped
Challenge Problem C-04,1,Incorrect
Challenge Problem C-05,-1,Skipped
Challenge Problem C-06,2,Incorrect
Challenge Problem C-07,-1,Skipped
Challenge Problem C-08,-1,Skipped
Challenge Problem C-09,1,Incorrect
Challenge Problem C-10,2,Incorrect
Challenge Problem C-11,2,Incorrect
Challenge Problem C-12,-1,Skipped
Ravens Problem B-01,2,Correct
Ravens Problem B-02,-1,Skipped
Ravens Problem B-03,-1,Skipped
Ravens Problem B-04,-1,Skipped
Ravens Problem B-05,3,Incorrect
Ravens Problem B-06,1,Incorrect
Ravens Problem B-07,1,Incorrect
Ravens Problem B-08,3,Incorrect
Ravens Problem B-09,4,Correct
Ravens Problem B-10,3,Correct
Ravens Problem B-11,1,Incorrect
Ravens Problem B-12,5,Correct
Ravens Problem C-01,1,Incorrect
Ravens Problem C-02,2,Correct
Ravens Problem C-03,3,Correct
Ravens Problem C-04,1,Incorrect
Ravens Problem C-05,5,Incorrect
Ravens Problem C-06,4,Correct
Ravens Problem C-07,2,Incorrect
Ravens Problem C-08,-1,Skipped
Ravens Problem C-09,1,Incorrect
Ravens Problem C-10,6,Correct
Ravens Problem C-11,1,Correct
Ravens Problem C-12,3,Incorrect
Test Problem B-01,3,Correct
Test Problem B-02,2,Correct
Test Problem B-03,-1,Skipped
Test Problem B-04,6,Correct
Test Problem B-05,3,Incorrect
Test Problem B-06,1,Incorrect
Test Problem B-07,4,Incorrect
Test Problem B-08,1,Incorrect
Test Problem B-09,3,Correct
Test Problem B-10,5,Correct
Test Problem B-11,1,Incorrect
Test Problem B-12,2,Correct
Test Problem C-01,7,Correct
Test Problem C-02,4,Incorrect
Test Problem C-03,1,Correct
Test Problem C-04,-1,Skipped
Test Problem C-05,6,Correct
Test Problem C-06,3,Incorrect
Test Problem C-07,1,Incorrect
Test Problem C-08,5,Correct
Test Problem C-09,1,Incorrect
Test Problem C-10,1,Incorrect
Test Problem C-11,1,Correct
Test Problem C-12,5,Incorrect
