Problem,Agent's Answer,Correct?
Basic Problem B-01,2,Correct
Basic Problem B-02,5,Correct
Basic Problem B-03,1,Correct
Basic Problem B-04,3,Correct
Basic Problem B-05,4,Correct
Basic Problem B-06,5,Correct
Basic Problem B-07,6,Correct
Basic Problem B-08,6,Correct
Basic Problem B-09,5,Correct
Basic Problem B-10,3,Correct
Basic Problem B-11,1,Correct
Basic Problem B-12,1,Correct
Challenge Problem B-01,-1,Skipped
Challenge Problem B-02,-1,Skipped
Challenge Problem B-03,1,Incorrect
Challenge Problem B-04,1,Incorrect
Challenge Problem B-05,3,Incorrect
Challenge Problem B-06,1,Incorrect
Challenge Problem B-07,2,Incorrect
Challenge Problem B-08,-1,Skipped
Challenge Problem B-09,-1,Skipped
Challenge Problem B-10,-1,Skipped
Challenge Problem B-11,-1,Skipped
Challenge Problem B-12,-1,Skipped
Ravens Problem B-01,2,Correct
Ravens Problem B-02,-1,Skipped
Ravens Problem B-03,-1,Skipped
Ravens Problem B-04,-1,Skipped
Ravens Problem B-05,3,Incorrect
Ravens Problem B-06,1,Incorrect
Ravens Problem B-07,1,Incorrect
Ravens Problem B-08,3,Incorrect
Ravens Problem B-09,4,Correct
Ravens Problem B-10,3,Correct
Ravens Problem B-11,1,Incorrect
Ravens Problem B-12,5,Correct
Test Problem B-01,3,Correct
Test Problem B-02,2,Correct
Test Problem B-03,-1,Skipped
Test Problem B-04,6,Correct
Test Problem B-05,3,Incorrect
Test Problem B-06,1,Incorrect
Test Problem B-07,4,Incorrect
Test Problem B-08,1,Incorrect
Test Problem B-09,3,Correct
Test Problem B-10,5,Correct
Test Problem B-11,1,Incorrect
Test Problem B-12,2,Correct
